Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4096, 1, 4, 64, 0.125135, 0.123677, N/A, 0.00255233, 0.00277241, 11.598, 0.00833009, 2, 2, 0.125, 2, 4, 1, 62.9717, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 4, 64, 0.169844, 0.172759, N/A, 0.00417395, 0.0044472, 3.6517, 0.0176128, 2, 2, 0.125, 2, 4, 1, 63.0118, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 4, 64, 0.242123, 0.245437, N/A, 0.00651305, 0.0068556, 0.977689, 0.0348361, 2, 2, 0.125, 2, 4, 1, 63.0007, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 8, 64, 0.158914, 0.229388, N/A, 0.00417584, 0.00355781, 11.114, 0.0102871, 2, 2, 0.125, 2, 8, 1, 50.9922, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 8, 64, 0.204846, 0.310941, N/A, 0.00689577, 0.00583712, 3.49748, 0.0217304, 2, 2, 0.125, 2, 8, 1, 51.0718, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 8, 64, 0.2825, 0.423394, N/A, 0.0108172, 0.00911616, 0.936155, 0.0429837, 2, 2, 0.125, 2, 8, 1, 51.0588, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 4, 64, 0.166767, 0.153816, N/A, 0.00329296, 0.00393427, 22.6644, 0.0143957, 2, 2, 0.125, 2, 4, 1, 72.8775, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8192, 1, 4, 64, 0.219043, 0.207152, N/A, 0.0052878, 0.00619658, 7.15886, 0.030448, 2, 2, 0.125, 2, 4, 1, 72.8989, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8192, 1, 4, 64, 0.304476, 0.287536, N/A, 0.00816011, 0.00944361, 1.9182, 0.0602178, 2, 2, 0.125, 2, 4, 1, 72.8921, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 8, 64, 0.177569, 0.245288, N/A, 0.00495789, 0.00417606, 21.3314, 0.0160561, 2, 2, 0.125, 2, 8, 1, 65.341, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8192, 1, 8, 64, 0.2259, 0.328048, N/A, 0.0080817, 0.0067759, 6.76635, 0.0339458, 2, 2, 0.125, 2, 8, 1, 65.3873, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8192, 1, 8, 64, 0.309469, 0.444273, N/A, 0.0125793, 0.0105123, 1.81275, 0.0671418, 2, 2, 0.125, 2, 8, 1, 65.375, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 4, 64, 0.217649, 0.275478, N/A, 0.00614362, 0.00525401, 41.5356, 0.0273705, 2, 2, 0.25, 4, 4, 1, 76.6608, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16384, 1, 4, 64, 0.272734, 0.362512, N/A, 0.0097729, 0.00836638, 13.2187, 0.0578859, 2, 2, 0.25, 4, 4, 1, 76.6896, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 4, 64, 0.368256, 0.486462, N/A, 0.0149736, 0.012823, 3.54358, 0.114484, 2, 2, 0.25, 4, 4, 1, 76.6815, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 8, 64, 0.219253, 0.275478, N/A, 0.00644737, 0.00533792, 41.7333, 0.0275484, 2, 2, 0.125, 2, 8, 1, 76.1655, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16384, 1, 8, 64, 0.27517, 0.362512, N/A, 0.0103254, 0.00852528, 13.2858, 0.0582625, 2, 2, 0.125, 2, 8, 1, 76.194, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 8, 64, 0.371912, 0.486462, N/A, 0.0158991, 0.0131003, 3.56163, 0.115229, 2, 2, 0.125, 2, 8, 1, 76.186, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 8, 64, 0.106953, 0.13945, N/A, 0.00983052, 0.00831242, 0.0160133, 0.030867, 2, 2, 0.125, 2, 8, 1, 35.5509, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
